Resource ID,Resource Name,Resource URL,Description,Archived,Format,Type,Runtime,Subject Areas,Authoring Organization,Intended Audiences,Record Modified,Resource Revised
L00691080,2018 MeSH Highlights,https://www.nlm.nih.gov/bsd/disted/clinics/mesh_2018.html,"On January 5, 2018, NLM staff provided a highlights tour of the 2018 Medical Subject Headings (MeSH). A 20-minute presentation featured a deleted subheading; new publication types; isotope and radioisotope terminology updates; additional terminology for viruses, smoking, and sugars; and restructuring in the plant and animal terminology. Following the presentation, Indexing and MeSH experts answered user questions.",false,MP4 Video,Webinar,21,Medical Subject Headings (MeSH); PubMed,Office of Engagement and Training,User,05/28/2020 12:00:00 AM,01/12/2018 12:00:00 AM
L000854112,2019 MeSH Highlights,https://www.nlm.nih.gov/bsd/disted/clinics/mesh_2019.html,"On January 4, 2019, NLM staff provided a highlights tour of the 2019 Medical Subject Headings (MeSH). A 20-minute presentation featured new publication types, including systematic reviews; three deleted subheadings; and additional terminology for data, neoplasms and more.",false,MP4 Video,Webinar,30,Medical Subject Headings (MeSH); PubMed,Office of Engagement and Training,User; Trainer; Developer,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM
L001321112,2020 MeSH Highlights,https://www.nlm.nih.gov/oet/ed/mesh/2020_mesh_highlights.html,"On January 10, 2020, Sarah Helson from the National Library of Medicine highlighted new and important changes for 2020 MeSH.  A 20-minute presentation included a new publication type, ""Randomized Controlled Trial, Veterinary,"" new MeSH ""as Topic"" Headings, and a new tree structure for Infections.",false,MP4 Video,Webinar,46,Medical Subject Headings (MeSH); PubMed,Office of Engagement and Training,User; Trainer; Developer,01/25/2021 12:00:00 AM,03/27/2020 12:00:00 AM
L001961112,2021 MeSH Highlights,https://www.nlm.nih.gov/oet/ed/mesh/2021_mesh_highlights.html,"Every year, updates are made to MeSH, the NLM controlled vocabulary thesaurus used for indexing articles for PubMed. This annual webinar aims to introduce those changes and provide examples of how the changes may affect you as a PubMed searcher. For more information about MeSH, see the MeSH homepage.",false,MP4 Video,Webinar,53,Medical Subject Headings (MeSH); PubMed,Office of Engagement and Training,User; Trainer; Developer,01/18/2023 12:00:00 AM,02/17/2021 12:00:00 AM
L002741112,2022 MeSH Highlights,https://www.nlm.nih.gov/oet/ed/mesh/2022_mesh_highlights.html,"On January 12, 2022, Louise To and a panel of experts from the National Library of Medicine presented the webinar, 2022 MeSH Highlights. The webinar summarizes the changes for the 2022 MeSH featuring examples of new and updated terminology related to:  COVID-19 and other diseases; Social Determinants of Health; and Population Groups",false,MP4 Video,Webinar,53,Health Services Research; Medical Subject Headings (MeSH),Office of Engagement and Training,User; Trainer; Developer,01/18/2023 12:00:00 AM,02/03/2022 12:00:00 AM
L003801112,2023 MeSH Highlights,https://www.nlm.nih.gov/oet/ed/mesh/2023/mesh_highlights.html,"On January 10, 2023, Louise To and a panel of experts from the National Library of Medicine presented the webinar, 2023 MeSH Highlights. This webinar summarizes the changes for the 2023 MeSH. This presentation features examples of new and updated terminology followed by a Q&A session with NLM Indexing and Mesh experts.",false,MP4 Video,Webinar,56,Medical Subject Headings (MeSH),Office of Engagement and Training,User,01/18/2023 12:00:00 AM,01/18/2023 12:00:00 AM
L004321112,A Biology Student’s Guide to Finding & Organizing NCBI Data for Research Projects,https://www.nlm.nih.gov/ncbi/workshops/2023-06_organizing-biology-data/workshop-details.html,"All biology research projects involve finding relevant literature and identifying related biological information. Often high school or new undergraduate students need guidance on how to effectively search for helpful information. For almost 35 years, the NCBI has provided free access to high-quality biological databases for the research community. In addition, we’ve created tools to help organize selected literature and biological data records for quick and easy access.",false,HTML,Webinar Source Page,169,Genetics and Molecular Biology; My NCBI; NCBI Workshops,"Training Team, NCBI",User; Trainer,07/25/2023 12:00:00 AM,06/29/2023 12:00:00 AM
L000888112,A Bird's Eye View of Health Data Standards,https://www.nlm.nih.gov/bsd/disted/video/clin_info/standards.html,"As part of the series, Clinical Information, Librarians and the NLM: from Health Data Standards to Better Health, Rex Robison from the U.S. National Library of Medicine provides a primer on health data standards, highlighting the role of the National Library of Medicine in terminology standards.",false,MP4 Video,Webinar,26,Terminology; Data Management; Data Science,Office of Engagement and Training,User,01/25/2021 12:00:00 AM,10/16/2018 12:00:00 AM
L001021112,A Bird's Eye View of Health Data Standards,https://www.nnlm.gov/training/class-catalog/birds-eye-view-health-data-standards,"This one-hour training session with videos and exercises is intended to introduce you to health data standards and how they are used, including relevant National Library of Medicine (NLM) products and services.",false,HTML,On-Demand Course,60,Terminology; Data Management; Data Science,Office of Engagement and Training,User; Trainer; Developer,03/20/2023 12:00:00 AM,09/01/2021 12:00:00 AM
L004441112,A Brief Introduction to RxNav,https://www.nlm.nih.gov/oet/ed/navigator/rxnav/launch.html,"RxNav is a web application powered by the RxNorm API. RxNav helps you search, browse, and navigate through several drug information sources, including RxNorm, RxTerms and MED-RT. RxNav can help you find drug names and codes from RxNorm's constituent vocabularies.  This NLM Navigator will familiarize you with the basic layout and features of RxNav, and will show you how to search for, browse, and explore RxNorm data.",false,HTML,Tutorial,15,Drugs and Chemicals; RxNorm; Data Management,Office of Engagement and Training,User; Developer,10/25/2023 12:00:00 AM,08/23/2023 12:00:00 AM
L002861112,A Practical Guide to Preprints: Accelerating Scholarly Communication,https://zenodo.org/record/5600535#.YinyiHrMJPa,A practical guide on preprints from the Dutch consortium of university libraries and the National library of the Netherlands (UKB) together with the Association of Universities in the Netherlands (VSNU) and the Dutch Research Council (NWO).,false,HTML,Page,,Preprints,External Organization,User,01/25/2023 12:00:00 AM,10/27/2021 12:00:00 AM
L003367112,A Voyage to Health - Lesson Plans,https://www.nlm.nih.gov/exhibition/avoyagetohealth/education/index.html,A Voyage to Health presents these educational resources for K-12 educators and college/university faculty. The resources present selected themes or visual items from the online exhibition as a part of instructional materials or self-directed learning. Students examine the rich content and primary sources in the exhibition in developing content knowledge and higher order thinking skills.,false,HTML,Page,,K-12 Education; History of Medicine,History of Medicine,User; Trainer,09/30/2022 12:00:00 AM,09/30/2022 12:00:00 AM
L003704112,"AIDS Posters and Stories of Public Health: A People's History of a Pandemic - Responding to AIDS: History, Politics, and Visual Culture - Lesson Plan",https://www.nlm.nih.gov/exhibition/aids-posters/resource-detail1.html,"This class resource presents six separate one-hour lessons, each of which introduce its main topics along with suggested readings and discussion questions that help students explore thematic and visual material in the AIDS, Posters, and Stories of Public Health: A People’s History of a Pandemic exhibition. The class resource allows students to explore the history of AIDS in the United States, visual culture and the role of imagery in the response to AIDS, and scientists’ and activists’ responses to AIDS. Responding to AIDS includes digitally available, visual and textual items related to HIV/AIDS, selected from NLM’s Digital Collections, Profiles in Science, PubMed Central and other sources, for students to view, read, and expand their understanding about diverse and complex factors in responding to a health crisis.",false,HTML,Page,,History of Medicine; HIV/AIDS,History of Medicine,User; Trainer,01/03/2023 12:00:00 AM,01/03/2023 12:00:00 AM
L001902112,"ALFA CoLab Presentation, ASHG2020",https://youtu.be/XM8HbSUNzfE,"This video is an introduction to and tutorial for using ALFA, the Allele Frequency Aggregator, at the National Center for Biotechnology Information (NCBI).",false,MP4 Video,YouTube Video,18,Genetics and Molecular Biology; Bioinformatics; Data Science,"Training Team, NCBI",User,12/01/2020 12:00:00 AM,11/02/2020 12:00:00 AM
L001524112,ALFA: Allele Frequency Data for Variant Analysis and Interpretation,https://www.youtube.com/watch?v=wii-V39YxGk,"Results from the Allele Frequency Aggregator (ALFA) project will help you interpret the biological impact of common and rare sequence variants. ALFA's initial release includes analysis of genotype data from ~100K unrestricted dbGaP subjects and provides high-quality allele frequency data now displayed on relevant dbSNP records. Eventually ALFA will analyze more than 1M subjects. In this webinar, you will learn about the data in the recent ALFA release, see how to access the data from the web, FTP, and how to programmatically retrieve data by positions, genes, and other attributes using eUtils and Variation Services API in Python.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/17/2020 12:00:00 AM,04/22/2020 12:00:00 AM
L001843112,ASAPbio Preprint FAQ,https://asapbio.org/preprint-info/preprint-faq,Frequently asked questions about preprints.,false,HTML,Page,,Preprints,External Organization,User,01/25/2023 12:00:00 AM,04/01/2021 12:00:00 AM
L003382112,About MedlinePlus,https://medlineplus.gov/about/,General information and information for developers about MedlinePlus.,false,HTML,Page,,MedlinePlus,"MedlinePlus Team, LO/PSD/RWS",User; Trainer,09/30/2022 12:00:00 AM,09/30/2022 12:00:00 AM
L001525112,Accelerate Genomics Discovery with SRA in the Cloud,https://www.youtube.com/watch?v=PoseTXa8LU8,"You will learn to best leverage the cloud to speed up research and discovery. We'll introduce you to new and existing tools and data including BigQuery, SRA Toolkit, and more. You'll hear about real workflows in the cloud, including an example of the work NCBI was able to accomplish in the cloud using SRA data and a case study from an SRA cloud customer. By the end of this webinar, you will know where to look for new cloud products from NCBI, access help information to get you started, and will have expanded your knowledge on how to run your analyses efficiently in the cloud.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/17/2020 12:00:00 AM,04/20/2020 12:00:00 AM
L003303112,Access Genome Data using NCBI Datasets in Galaxy,https://www.youtube.com/watch?v=8TR3OrlgtC4,"This is a quick introduction to using NCBI Datasets withing Galaxy.  NCBI Datasets lets you easily gather data from across NCBI databases. You can download gene, transcript, protein and genome sequences, annotation and metadata.",false,MP4 Video,YouTube Video,4,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User; Trainer,09/12/2022 12:00:00 AM,09/06/2022 12:00:00 AM
L00515080,AccessGUDID: Search and Download,https://www.youtube.com/watch?v=iWPkoBanBfY,"This video, authored by the Food and Drug Administration, demonstrates how to search for medical device information on the AccessGUDID web site.",false,MP4 Video,Quick Tour,4,SNOMEDCT; Terminology,"UMLS Team, LO/BSD/MMS",User,10/22/2018 12:00:00 AM,11/16/2016 12:00:00 AM
L004401112,Accessing NCBI Biology Resources Using EDirect for Command Line Novices,https://www.nlm.nih.gov/ncbi/workshops/2023-07_intro-to-edirect/workshop-video.html,"In this workshop, we will begin with an introduction to working in a command line environment and then show you how to use the EDirect suite to access data programmatically from several NCBI databases.",false,HTML,Webinar Source Page,108,NCBI Workshops,"Training Team, NCBI",User; Trainer,08/01/2023 12:00:00 AM,07/31/2023 12:00:00 AM
L002061112,Add Preprint Citations in My Bibliography,https://www.youtube.com/watch?v=VGTRQNNDbmM,Demonstrates how to add preprint citations to My Bibliography.,false,MP4 Video,YouTube Video,3,My NCBI; Preprints,"NIHMS Team, NCBI",User,04/28/2021 12:00:00 AM,01/27/2021 12:00:00 AM
